Product,Sub-product,Issue,Sub-issue,State,Company,Company response,Timely response?,Complaint ID,ZIP code
8,25,69,22,31,981,1,1,1278473,59833
4,7,81,44,12,729,1,1,1279338,32839
4,32,23,45,56,490,1,1,1279343,54452
3,25,83,29,27,494,1,1,1279314,48326
4,27,37,25,13,489,3,1,1279304,30319
3,25,83,29,1,504,1,1,1279311,99926
6,6,7,22,22,1419,1,1,1278226,70739
6,6,77,22,52,955,1,1,1278125,22911
6,6,54,22,32,955,1,1,1278178,28655
3,25,49,1,12,504,1,1,1278213,33947
6,11,55,22,50,955,1,1,1278167,79936
3,25,49,35,43,504,3,1,1278176,19468
3,25,49,32,40,494,1,1,1278142,44203
4,7,81,44,36,525,1,1,1278659,7305
3,25,49,20,7,504,3,1,1278477,90731
2,25,35,22,12,128,1,1,1278799,33314
0,4,36,22,50,1498,1,1,1279275,75052
3,25,49,32,39,494,1,1,1279273,10473
3,25,49,32,39,504,1,1,1279272,10473
2,25,45,22,12,312,2,1,1279270,33126
6,29,54,22,47,996,1,1,1279296,29706
3,25,49,0,43,494,1,1,1279198,15221
3,25,49,20,43,494,3,1,1279199,15221
4,25,24,11,50,858,1,1,1279346,78744
3,25,31,31,40,504,4,1,1279147,43081
3,25,49,0,50,494,1,1,1277508,75206
4,7,81,40,50,436,1,1,1279026,79360
4,21,24,11,12,438,1,1,1276930,33765
4,21,24,12,9,435,1,1,1278823,6704
4,32,40,3,40,291,1,1,1278753,45212
3,25,83,28,38,504,3,1,1278750,89101
4,25,46,8,52,377,1,1,1278772,22003
0,4,1,22,7,661,1,1,1278744,90061
4,24,40,3,38,955,1,1,1278785,89121
3,25,49,20,50,494,1,1,1278843,75240
3,25,83,28,24,504,3,1,1278103,20744
3,25,83,28,7,473,1,1,1278722,90254
3,25,49,35,13,504,1,1,1278682,30038
3,25,49,20,50,504,3,1,1278844,75240
6,6,54,22,43,1229,4,1,1277768,19120
3,25,49,20,7,504,3,1,1277564,92019
3,25,49,32,12,504,1,1,1277018,34465
3,25,49,20,12,494,4,1,1276983,34786
3,25,31,23,36,494,4,1,1276974,7728
6,29,55,22,7,1005,1,1,1276972,94505
3,25,49,32,19,494,4,1,1280925,46239
1,31,15,22,27,1294,4,1,1278623,49091
3,25,83,28,22,504,4,1,1276967,70461
3,25,31,23,36,494,4,1,1281103,8753
0,4,36,22,12,174,1,1,1277008,33175
4,21,24,14,43,1032,1,1,1278119,18708
0,4,87,22,8,1498,1,1,1278592,80920
3,25,31,17,52,504,4,1,1277001,23223
4,27,24,11,55,1358,3,1,1277532,99338
6,6,55,22,7,955,1,1,1277028,92056
4,7,40,3,52,718,4,1,1277524,23220
2,25,26,22,20,373,4,1,1277873,67209
0,37,1,22,36,691,4,1,1277516,7461
3,25,49,0,43,494,4,1,1277094,19082
0,4,72,22,8,1419,1,1,1277080,80111
3,25,49,35,7,494,3,1,1277190,95032
4,26,24,12,7,1401,4,1,1277167,92887
6,17,55,22,28,2,1,1,1277265,55124
10,26,34,22,24,312,1,1,1277486,21230
4,25,81,43,27,377,1,1,1277429,48822
3,25,49,0,40,1398,1,1,1277306,43227
2,25,0,22,23,1419,1,1,1277231,1351
4,27,37,38,39,489,3,1,1277221,10463
4,26,40,3,7,461,1,1,1277220,90005
6,6,54,22,27,955,4,1,1277413,48529
3,25,31,23,36,504,4,1,1277408,7728
4,27,23,15,52,268,1,1,1277401,23325
3,25,83,28,39,494,1,1,1277313,10011
4,27,37,25,37,1054,1,1,1277379,88220
3,25,49,26,50,504,3,1,1277371,79936
1,19,60,22,40,291,1,1,1277485,43416
3,25,30,30,52,504,1,1,1277459,20115
3,25,49,1,39,504,4,1,1277441,11412
4,21,37,25,13,1296,0,1,1277432,30655
3,25,49,20,50,1398,4,1,1277461,77034
3,25,30,27,51,504,4,1,1277464,84003
4,27,24,11,50,1080,1,1,1277462,77034
